64 128
42 70779 49772 1450 30087 13699 2900 42053 133599 75375 E 4529
43 75615 50713 1086 31935 16292 2172 40358 123842 73124 E 6121
44 68040 50627 1129 30159 13885 2258 42004 134822 74879 E 6196
45 72568 50768 1199 33101 12883 2398 41523 129601 75181 E 4620
46 77159 49417 1172 33598 13630 2344 42443 130181 76338 E 4644
47 71041 50460 819 31646 13151 1638 45291 138630 73471 E 4609
48 69624 50367 1191 30707 14216 2382 41071 122974 75083 E 4648
49 72817 51321 1222 28512 13158 2444 41070 117616 74663 E 4778
50 70925 50555 835 33088 14506 1670 44814 131613 75002 E 6961
51 68977 50551 1116 30772 13188 2232 43510 126215 75289 E 4709
52 75110 51012 709 34112 13904 1418 54113 135827 73611 E 5136
53 72165 64489 1180 28288 13369 2360 40722 121046 74593 E 4779
54 65969 49569 1035 26125 13081 2070 46304 267434 75020 E 6681
55 90400 50828 852 32404 13666 1704 48719 162105 75222 E 5982
56 65057 58186 1276 28917 14223 2552 69439 174116 76377 E 8825
57 79787 51311 1277 30029 15071 2554 48724 151795 75812 E 6138
58 75753 50305 1164 30165 14082 2328 49561 168784 74244 E 9164
59 76201 50682 1097 33980 14532 2194 49961 162676 75889 E 6149
60 78385 50893 947 38229 17016 1894 67372 172098 74269 E 6187
61 78552 50453 896 32681 14567 1792 51844 152151 74311 E 4876
62 83188 50566 1143 41331 14646 2286 52165 153009 75315 E 6410
63 72563 49292 980 39656 19011 1960 62240 132966 75179 E 8755
64 88209 49981 934 32218 14170 1868 48951 148428 74114 S 37695
63 79808 50439 781 38149 14189 1562 54029 157839 73956 S 35974
62 69967 54813 1579 46255 15639 3158 52872 139967 77240 S 35978
61 85437 50644 1223 40917 12505 2446 51391 150679 76958 S 34986
60 74329 50069 1567 37229 14340 3134 52842 157615 76991 S 33389
59 76551 49589 1202 31847 14356 2404 51290 153324 75817 S 32177
58 69415 49911 1620 29940 14130 3240 51204 154420 77334 S 31411
57 76846 50859 1235 36391 14434 2470 48022 141276 75727 S 30321
56 76247 50880 1410 36512 14312 2820 49274 149092 76748 S 29580
55 73319 50172 1278 34940 15535 2556 56532 157019 76149 S 28832
54 82081 51299 1029 36457 13736 2058 48549 179450 74461 S 37888
53 104978 68584 1151 47661 17036 2302 64125 191608 76465 S 36437
52 107694 69435 1247 50259 18983 2494 64422 191869 75656 S 34980
51 102427 68371 986 48079 19590 1972 62241 187953 74221 S 34319
50 89625 68051 876 40864 18565 1752 60793 180585 75403 S 32909
49 91232 68682 1414 38825 18163 2828 62281 186622 78075 S 31263
48 96305 68503 1377 44106 18160 2754 59913 172809 76850 S 30154
47 90158 65958 1427 42236 19242 2854 63437 182262 78062 S 28609
46 88055 67480 2188 37912 19305 4376 58789 179760 80519 S 28019
45 92105 66755 1561 37441 17747 3122 57053 168140 74536 S 26664
44 92030 66454 1768 44193 19970 3536 59207 174104 81117 S 24899
43 95952 68608 1396 39904 18183 2792 58918 176187 79100 S 23697
